Seq,Chest,Height,Waist,Head,Foot,Weight
30095,101.400,172.900,84.200,56.700,26.400,71.700
30096,108.500,173.700,93.100,58.900,24.400,79.100
30097,108.900,173.100,80.200,55.400,26.400,71.000
30098,87.000,177.400,74.400,57.500,26.600,59.500
30099,105.700,175.000,100.800,59.900,26.700,87.500
30100,93.300,179.800,85.400,57.600,26.500,73.400
30101,100.100,175.300,83.000,58.300,28.000,73.000
30102,92.400,182.900,75.800,56.800,27.400,63.300
30103,86.800,171.400,74.300,62.800,26.200,57.600
30104,84.800,182.700,83.500,56.200,26.400,55.400
30105,103.700,171.100,99.500,61.200,27.600,82.900
30106,109.800,173.900,107.100,57.000,24.700,91.400
30107,91.100,165.500,82.800,58.500,25.200,59.000
30108,111.200,181.700,102.200,58.800,27.000,93.800
30109,104.800,167.900,89.200,57.000,27.700,80.100
30110,98.500,181.000,92.300,58.200,27.700,75.200
30111,101.900,168.400,91.900,60.900,26.200,72.000
30112,79.500,170.900,72.000,56.900,25.300,53.000
30113,97.700,171.400,93.300,57.300,27.200,68.800
30114,107.700,180.300,103.400,58.000,27.000,91.400
30115,91.000,168.800,83.600,59.100,26.800,66.000
30116,96.200,169.300,84.300,56.900,26.000,69.000
30117,99.200,180.500,85.900,60.300,27.400,77.200
30118,98.900,169.700,86.700,58.600,24.700,70.700
30119,90.300,170.700,81.900,60.200,29.400,56.200
30120,85.300,176.200,79.800,55.700,25.800,53.600
30121,91.900,171.400,82.200,54.800,26.700,64.400
30122,114.400,179.500,108.700,59.400,27.800,106.200
30123,91.800,178.700,85.700,56.600,28.600,75.100
30124,90.400,163.000,75.300,59.100,26.000,63.800
30125,90.400,174.100,83.300,58.000,27.600,66.800
30126,101.200,180.800,100.100,56.100,24.800,82.700
30127,101.600,168.200,91.500,62.700,26.300,80.500
30128,91.000,168.500,81.300,56.700,25.900,64.600
30129,91.000,171.900,82.400,59.600,25.700,61.500
30130,106.100,162.800,96.700,57.000,25.100,78.400
30131,101.600,173.800,92.400,59.400,24.500,77.500
30132,104.400,176.600,98.200,58.900,27.900,91.200
30133,107.700,176.500,110.200,60.000,25.600,96.500
30134,104.900,180.400,91.800,62.300,28.100,84.100
30135,95.800,174.600,90.300,58.700,25.600,73.600
30136,102.300,179.800,94.900,60.100,26.800,87.200
30137,89.200,178.000,83.000,55.500,27.300,66.900
30138,96.900,165.400,88.400,54.900,24.600,64.000
30139,89.200,175.300,81.400,57.400,26.800,62.600
30140,105.300,171.600,87.800,57.100,27.800,75.700
30141,84.100,175.900,79.800,59.100,27.100,65.500
30142,102.400,173.300,97.500,58.400,26.100,87.100
30143,89.500,181.800,81.900,57.600,27.300,66.000
30144,96.600,173.200,94.600,58.500,25.900,73.600
30145,93.900,179.400,93.600,60.900,27.400,76.300
30146,88.600,165.600,78.600,57.700,24.100,52.900
30147,98.300,176.200,91.800,57.600,26.400,74.000
30148,83.200,174.800,85.700,57.500,25.900,57.500
30149,104.700,179.000,102.000,59.200,29.000,95.500
30150,91.100,179.400,89.900,57.500,26.300,69.800
30151,111.100,177.600,113.200,60.000,27.500,91.200
30152,84.500,172.900,82.200,57.300,25.800,60.100
